worker_id,instance,rating_score
A37Y0ZB2TBZLFD,51de654e6985688b6997077739cd59c2_gpt4,89
A37Y0ZB2TBZLFD,51f07ffd318edcddfa2f7fb6103c14da_gpt4,92
A37Y0ZB2TBZLFD,946ef47a2bdfd2b63c751c35ee67a82c_gpt4,87
A37Y0ZB2TBZLFD,d88e9532b4922da6ecb543c4e4bc828f_gpt4,85
A37Y0ZB2TBZLFD,0eb69b5181fbfb55f7db70a5a435d0c0_gpt35,88
A37Y0ZB2TBZLFD,67b95ed0c78485194622428b73f99ab6_gpt35,13
A37Y0ZB2TBZLFD,9268e416f5a9768d6f5b7de6e596b083_gpt35,89
A37Y0ZB2TBZLFD,dc1f24a9c2312fe8abe2a5dbdf6f35b9_gpt35,17
A37Y0ZB2TBZLFD,0784404b9548c2f913fc983f85a68885_llama2-70b,89
A37Y0ZB2TBZLFD,3abcc04d9af972c49e3635f30343a4aa_llama2-70b,89
A37Y0ZB2TBZLFD,ec074dc7e8e07ee7d642fc232c631fcf_llama2-70b,90
A37Y0ZB2TBZLFD,fe1e9530cf29ced7dbf8096de929fb67_llama2-70b,84
A37Y0ZB2TBZLFD,3700c4bb1e8354976207f11b9577d1bd_llama2-70b,96
A37Y0ZB2TBZLFD,59d8a1fe2b05e6ed62fce3c7d561287e_llama2-70b,93
A37Y0ZB2TBZLFD,d01b52c050a578bada210b44f959beb3_llama2-70b,92
A37Y0ZB2TBZLFD,d30bd3615322f678369e332b02be5091_llama2-70b,11
A37Y0ZB2TBZLFD,44701d7f1144f60929701fbaeefe8415_llama2-70b,82
A37Y0ZB2TBZLFD,7b6c86dee31757abd4e0638e90adbe09_llama2-70b,16
A37Y0ZB2TBZLFD,a020dac9dcff53d143165d7a465aa0f9_llama2-70b,82
A37Y0ZB2TBZLFD,dd1b6f76641236daf7e81542e99c42db_llama2-70b,17
A1GS52JKRG5BC3,51de654e6985688b6997077739cd59c2_gpt4,13
A1GS52JKRG5BC3,51f07ffd318edcddfa2f7fb6103c14da_gpt4,84
A1GS52JKRG5BC3,946ef47a2bdfd2b63c751c35ee67a82c_gpt4,11
A1GS52JKRG5BC3,d88e9532b4922da6ecb543c4e4bc828f_gpt4,9
A1GS52JKRG5BC3,a49551f75da3400d4e394ff9ec0de104_gpt4,5
A1GS52JKRG5BC3,bddbb16d7f0f1189e10c31c8d7eb219f_gpt4,7
A1GS52JKRG5BC3,e2f329ba8673600592e1cec1826d0233_gpt4,74
A1GS52JKRG5BC3,e66f6ad36cd11d1ffd60f4454c8b17dc_gpt4,73
A1GS52JKRG5BC3,1643f3e44c9bcb8fd85e679188e9526a_gpt4,24
A1GS52JKRG5BC3,3f07314f131266088fea3b991c37cfbe_gpt4,66
A1GS52JKRG5BC3,4d74e871e8b730bdd3f4d5413530d3bd_gpt4,12
A1GS52JKRG5BC3,a0f636588f6a5ed0544c513bc9498445_gpt4,74
A1GS52JKRG5BC3,0fc55c62ac111cc39495b214c65aab29_gpt35,83
A1GS52JKRG5BC3,636f0aea25022f4a3d4f60dae3b77a4d_gpt35,91
A1GS52JKRG5BC3,a74ea124fc03521b4e5b4c37a1f55cc0_gpt35,93
A1GS52JKRG5BC3,e7389561eac2cfd1ab2f83a5327df55d_gpt35,86
A1GS52JKRG5BC3,a49551f75da3400d4e394ff9ec0de104_gpt35,77
A1GS52JKRG5BC3,bddbb16d7f0f1189e10c31c8d7eb219f_gpt35,86
A1GS52JKRG5BC3,e2f329ba8673600592e1cec1826d0233_gpt35,85
A1GS52JKRG5BC3,e66f6ad36cd11d1ffd60f4454c8b17dc_gpt35,87
A1GS52JKRG5BC3,132cc0e006a0453ef7923e886bfe053d_llama2-70b,73
A1GS52JKRG5BC3,1a48a50600650b62e10587f5a6356255_llama2-70b,59
A1GS52JKRG5BC3,c0e7f464cfb61636a24f8e2f3b8f2ab1_llama2-70b,65
A1GS52JKRG5BC3,c528f5e53e029fee09e6d1c0fb03078a_llama2-70b,10
A1GS52JKRG5BC3,1420df045728c9f0cd0be4605734a3b0_llama2-70b,74
A1GS52JKRG5BC3,29e542006ba432a0caf10947b672c7d0_llama2-70b,91
A1GS52JKRG5BC3,bd7efc7c7481055ccb4ee2cf78bf3034_llama2-70b,93
A1GS52JKRG5BC3,e9de43e464b2a30e6859c2dd36f932f5_llama2-70b,6
A1GS52JKRG5BC3,1643f3e44c9bcb8fd85e679188e9526a_llama2-70b,8
A1GS52JKRG5BC3,3f07314f131266088fea3b991c37cfbe_llama2-70b,66
A1GS52JKRG5BC3,4d74e871e8b730bdd3f4d5413530d3bd_llama2-70b,11
A1GS52JKRG5BC3,a0f636588f6a5ed0544c513bc9498445_llama2-70b,8
AP3Z76RH2IE8O,51de654e6985688b6997077739cd59c2_gpt4,11
AP3Z76RH2IE8O,51f07ffd318edcddfa2f7fb6103c14da_gpt4,79
AP3Z76RH2IE8O,946ef47a2bdfd2b63c751c35ee67a82c_gpt4,76
AP3Z76RH2IE8O,d88e9532b4922da6ecb543c4e4bc828f_gpt4,14
AP3Z76RH2IE8O,0fc55c62ac111cc39495b214c65aab29_gpt4,81
AP3Z76RH2IE8O,636f0aea25022f4a3d4f60dae3b77a4d_gpt4,85
AP3Z76RH2IE8O,a74ea124fc03521b4e5b4c37a1f55cc0_gpt4,9
AP3Z76RH2IE8O,e7389561eac2cfd1ab2f83a5327df55d_gpt4,6
AP3Z76RH2IE8O,06b3afa146800484bf727f9d33e4e9f2_gpt4,85
AP3Z76RH2IE8O,3ee7bbf6b00d0dbeb1e8556c04b777c2_gpt4,87
AP3Z76RH2IE8O,520d516ab00c156c492b5fd1e45d2ff3_gpt4,90
AP3Z76RH2IE8O,e566995b2bc4b20ae5c027f79547554c_gpt4,88
AP3Z76RH2IE8O,020d547223b1dd78b09a4294faad27bb_gpt35,72
AP3Z76RH2IE8O,837db1a79f848c4c64fd8f994ccb6b3a_gpt35,64
AP3Z76RH2IE8O,a89cb42b83657f191d4abc29683ff669_gpt35,82
AP3Z76RH2IE8O,eda191b158a72f99c4e59b3e8c3f5a99_gpt35,17
AP3Z76RH2IE8O,4063365859c7241903fb4f96c7d96688_llama2-70b,74
AP3Z76RH2IE8O,4ddbe893fac8b26af866c9ba1766f481_llama2-70b,76
AP3Z76RH2IE8O,6a45466cfe77a2a109a3177309549923_llama2-70b,84
AP3Z76RH2IE8O,870d21ac1ed82b572f512d56c83f8c04_llama2-70b,65
AP3Z76RH2IE8O,35054e8285636c8d9d94f73635f3fad2_llama2-70b,79
AP3Z76RH2IE8O,82f2cb3c64ef3da58f0295b90f087d2e_llama2-70b,73
AP3Z76RH2IE8O,898cf5f1aa59c0bfdf9bbb18d0c7a6e6_llama2-70b,64
AP3Z76RH2IE8O,b6f5d0b8201786f2277379237d8954b7_llama2-70b,73
AP3Z76RH2IE8O,1420df045728c9f0cd0be4605734a3b0_llama2-70b,66
AP3Z76RH2IE8O,29e542006ba432a0caf10947b672c7d0_llama2-70b,75
AP3Z76RH2IE8O,bd7efc7c7481055ccb4ee2cf78bf3034_llama2-70b,37
AP3Z76RH2IE8O,e9de43e464b2a30e6859c2dd36f932f5_llama2-70b,73
A34H5VDE6B62VN,51de654e6985688b6997077739cd59c2_gpt4,7
A34H5VDE6B62VN,51f07ffd318edcddfa2f7fb6103c14da_gpt4,82
A34H5VDE6B62VN,946ef47a2bdfd2b63c751c35ee67a82c_gpt4,70
A34H5VDE6B62VN,d88e9532b4922da6ecb543c4e4bc828f_gpt4,14
A34H5VDE6B62VN,0eb69b5181fbfb55f7db70a5a435d0c0_gpt4,88
A34H5VDE6B62VN,67b95ed0c78485194622428b73f99ab6_gpt4,17
A34H5VDE6B62VN,9268e416f5a9768d6f5b7de6e596b083_gpt4,87
